ratio  cap/low  exact BASE            (top forms)
0.92    12/1          АБСОЛЮТ          (Абсолюта:6, Абсолюту:3, Абсолют:1)
0.91   128/12         БОГ              (Бог:58, Бога:38, Богом:14)
0.91    21/2          ЭЛОКИМ           (Элоким:19, ЭЛОКИМ:2)
0.91   145/14         БЕСКОНЕЧНОСТ     (Бесконечности:129, Бесконечность:14, Бесконечностью:2)
0.91    20/2          ВОЛШЕБНИК        (Волшебника:8, Волшебник:7, Волшебники:2)
0.91    10/1          КЕТЕР            (Кетер:8, КЕТЕР:2)
0.91    10/1          КАББАЛОЙ         (Каббалой:10)
0.91   396/40         КРУГ             (Круге:127, Круга:116, Круг:90)
0.91  1049/108        БЛАГОСЛОВЕН      (Благословен:916, Благословенной:41, Благословенного:38)
0.90    19/2          АБА              (Аба:14, Абе:3, АБА:2)
0.90     9/1          ЖИВОТВОРЯЩ       (Животворящий:2, Животворящему:2, Животворящей:2)
0.90     9/1          БОЖ              (Божий:7, Божиих:1, Божьи:1)
0.89    17/2          НУКВОЙ           (Нуквой:16, НУКВОЙ:1)
0.89   192/23         МИЛОСТ           (Милостью:175, Милости:8, Милость:7)
0.89     8/1          НЕВЕСТ           (Невесты:6, Невесте:1, Невесту:1)
0.88    36/5          ДОН              (Дона:19, Дон:15, Доном:2)
0.87    27/4          НУКВ             (Нуква:14, Нуквы:9, Нукву:2)
0.85    23/4          ВОИНА-ИСРАЭЛЬ    (Воина-Исраэль:22, ВОИНА-ИСРАЭЛЬ:1)
0.84    46/9          РОШ              (Рош:40, РОШ:6)
0.83    25/5          ЗОНА             (ЗОН:24, Зона:1)
0.83     5/1          ХРАМ             (Храмов:3, Храм:2)
0.83     5/1          ДРЕВ             (Древом:2, Древа:2, ДРЕВА:1)
0.83     5/1          ВЕТХИЙ           (Ветхий:5)
0.83   169/34         КНИГ             (Книги:94, Книга:31, Книге:26)
0.82    14/3          ХАСАДИМ          (Хасадим:14)
0.81    13/3          ЭЛЕ              (ЭЛЕ:7, Эле:4, Эль:2)
0.80   871/214        ПУТ              (Пути:591, Путь:237, Путей:12)
0.80    44/11         ОТЕЦ             (Отца:18, Отец:13, Отцом:8)
0.80    24/6    EX    !ЧСВ             (ЧСВ:24)
0.78    29/8          БЕНЕФАКТОР       (Бенефактора:22, Бенефактором:4, Бенефактор:2)
0.78    31/9          ЦАР              (Царь:19, Царя:6, Царе:2)
0.77    23/7          МИФ              (Мифа:9, Мифе:8, Миф:3)
0.76    13/4          СОЛНЦ            (Солнце:7, Солнцу:2, Солнца:2)
0.75     6/2          КНЕССЕТ          (Кнессет:6)
0.75     6/2          ЗНАЮЩ            (Знающий:3, Знающего:2, Знающим:1)
0.75     3/1          ФЕЯ              (Фея:3)
0.75     3/1          СОФ              (Соф:3)
0.75     3/1          ОМЕГОЙ           (Омегой:3)
0.75     3/1          ИВРИТ            (Иврит:2, Ивритом:1)
0.75     3/1          ЗМЕЕМ            (Змеем:3)
0.75     3/1          ГУФА             (Гуфа:3)
0.75     3/1          АЛЬФОЙ           (Альфой:3)
0.74    29/10         ТЬМ              (Тьмы:11, Тьма:8, Тьме:7)
0.74   270/96         ВЫСШ             (Высшей:83, Высшего:78, Высший:36)
0.73    30/11         СЛАВ             (Славу:24, Славы:5, Слава:1)
0.72    82/32         ЗЕМЛ             (Земле:38, Земля:20, Землю:11)
0.71     5/2          КОРОЛЕВ          (Королевы:2, Королеве:2, Королева:1)
0.71    17/7          ЦАРСТВ           (Царство:12, Царства:2, ЦАРСТВО:1)
0.69     9/4          ПЕСН             (Песнь:5, Песни:3, Песню:1)
0.67   456/223        СИЛ              (Силы:141, Сила:95, Силой:71)
0.67     6/3          РАЯ              (Рая:3, Раем:1, Рай:1)
0.67     6/3          КОЛЕС            (Колесо:4, Колеса:2)
0.67     4/2          КОСТ             (Костер:2, Костра:1, Костре:1)
0.64    55/31         ИСТИН            (Истины:33, Истина:10, Истину:6)
0.64    44/25         ЗАМЫС            (Замысла:17, Замысел:14, Замысле:7)
0.64     7/4          КОРНЕ            (Корне:7)
0.62     5/3          РАССВЕТ          (Рассветом:2, Рассвета:2, Рассвет:1)
0.62    76/47         КЕЛИМ            (Келим:73, КЕЛИМ:3)
0.61    14/9          ЗВЕЗД            (Звезды:8, Звезда:3, ЗВЕЗД:1)
0.60     3/2          НИРВАН           (Нирвану:2, Нирванах:1)
0.60     3/2          КАСТАНЕДОВ       (Кастанедовец:1, Кастанедовцев:1, Кастанедовцам:1)
0.60     3/2          ВСЕМОГУЩ         (Всемогущей:2, Всемогущий:1)
0.57     4/3          ВЫСЬ             (Высь:2, ВЫСЬ:1, Высью:1)
0.56    37/29         НАГВАЛ           (Нагваля:34, НАГВАЛЯ:2, Нагвалю:1)
0.56    29/23         АНГЕЛ            (Ангел:12, Ангелы:6, Ангелов:6)
0.55    89/72         ПРАВИЛ           (Правила:40, Правило:34, Правиле:6)
0.55    11/9          НАФИГА           (НАФИГА:8, НАФИГ:2, Нафига:1)
0.55   326/269        ЛЮБ              (Любви:226, Любовь:61, Любовью:26)
0.55    48/40         ГАДЛУТ           (Гадлут:28, Гадлута:15, Гадлуте:2)
0.55     6/5          ЛУН              (Луны:3, Луной:2, Луну:1)
0.54    13/11         ВОСХОДЯЩ         (Восходящей:8, Восходящему:2, Восходящим:2)
0.54    35/30         ОГОНЬ            (Огонь:18, Огня:9, Огнем:5)
0.53    31/27         КОЛЬЦ            (Кольца:15, Кольцо:12, КОЛЬЦОМ:2)
0.53     8/7          АХРА             (Ахра:8)
0.52    50/46         МУДРОСТ          (Мудрости:36, Мудрость:10, Мудростью:2)
0.51    38/36         СКАЗК            (Сказки:15, Сказке:10, Сказка:6)
